購入ID,席名,購入者,購入金額,購入日時
41,A5,"久保 テスト",12500,"2023-04-09 21:32:05"
42,A4,"久保 テスト",12500,"2023-04-09 21:32:05"
43,A3,"久保 テスト",12500,"2023-04-09 21:32:05"
45,A1,"久保 テスト",12500,"2023-04-09 21:32:05"
46,A2,"久保 テスト",12500,"2023-04-09 21:32:05"
40,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
39,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
38,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
37,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
36,未定,"久保 テスト",12500,"2023-04-09 21:32:05"
35,C1,"久保 テスト",12500,"2023-04-09 21:32:05"
34,C2,"久保 テスト",12500,"2023-04-09 21:32:05"
33,C4,"久保 テスト",12500,"2023-04-09 21:32:05"
32,C5,"久保 テスト",12500,"2023-04-09 21:32:05"
31,C6,"久保 テスト",12500,"2023-04-09 21:32:05"
29,C7,"久保 テスト",12500,"2023-04-09 21:32:05"
